temperature_C,cycle,start_day,peak_day,end_day,downtime_end_day,peak_rate_m3_day
200.0,32,7664.75,7763.25,7882.0,7912.0,214.87370196731862
200.0,33,7912.0,8010.5,8129.25,8159.25,204.13001686895268
200.0,34,8159.25,8257.75,8376.5,8406.5,193.92351602550505
200.0,35,8406.5,8505.0,8623.75,8653.75,184.22734022422978
200.0,36,8653.75,8752.25,8871.0,8901.0,175.0159732130183
200.0,37,8901.0,8999.5,9118.25,9148.25,166.26517455236737
200.0,38,9148.25,9246.75,9365.5,9395.5,157.951915824749
200.0,39,9395.5,9494.0,9612.75,9642.75,150.05432003351154
200.0,40,9642.75,9741.25,9860.0,9890.0,142.55160403183595
200.0,41,9890.0,9988.5,10107.25,10137.25,135.42402383024412
200.0,42,10137.25,10235.75,10354.5,10384.5,128.65282263873192
200.0,43,10384.5,10483.0,10601.75,10631.75,122.22018150679533
200.0,44,10631.75,10730.25,10849.0,10879.0,116.10917243145556
200.0,45,10879.0,10977.5,10957.5,10957.5,110.30371380988278
