case_name,time_day,reactive_area_m2,reactive_area_in2,Lx_m,Ly_m,Lz_m,nx,ny,nz,number_of_fractures,temperature_C,injection_rate_m3_day,aperture_m,permeability_m2,maximum_pressure_pa,analytical_generated_H2_m3_day,applied_generated_H2_m3_day,produced_H2_m3_day,cumulative_generated_H2_mol,cumulative_produced_H2_mol,stored_H2_mol,relative_H2_balance_error,inventory_remaining_fraction
field_150x50m_200C,53.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,700.2844765811636,700.2844765811636,699.071037344931,241715.17244223633,241030.00861165274,685.1638305848394,5.1482747778201315e-15,1.0
field_150x50m_200C,54.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,751.5447464932535,751.5447464932535,750.4180155259105,275245.3208536423,274509.88795161486,735.4329020288988,5.280280619941761e-15,1.0
field_150x50m_200C,55.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,798.086319706249,798.086319706249,797.0629452571945,310851.92028731096,310070.8295620902,781.0907252223877,5.301208084066938e-15,1.0
field_150x50m_200C,56.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,839.5048233176202,839.5048233176202,838.5937966552481,348306.40513239085,347484.66897742206,821.7361549705976,5.183541397037275e-15,1.0
field_150x50m_200C,57.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,875.7116800542008,875.7116800542008,874.9150483887596,387376.25790539884,386518.9800503568,857.2778550440104,5.140873493738691e-15,1.0
field_150x50m_200C,58.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,906.8717753231585,906.8717753231585,906.1860008481901,427836.3174808052,426948.4438162259,887.8736645815001,5.1516120367875365e-15,1.0
field_150x50m_200C,59.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,933.3298444477576,933.3298444477576,932.7474168330023,469476.8030901457,468562.9444333849,913.8586567632074,5.1898971152826646e-15,1.0
field_150x50m_200C,60.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,955.5397365428105,955.5397365428105,955.0507268691387,512108.18243086175,511172.50662081863,935.6758100458437,5.322616811695764e-15,1.0
field_150x50m_200C,61.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,974.0051070137071,974.0051070137071,973.5984735769812,555563.3937725994,554609.5760228434,953.8177497590133,5.3534149207328205e-15,1.0
field_150x50m_200C,62.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,989.2349088021382,989.2349088021382,988.8994791124319,599698.0823066467,598729.2993704133,968.7829362367183,5.458198930853059e-15,1.0
field_150x50m_200C,63.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1001.7134001840178,1001.7134001840178,1001.4385341670237,644389.4983940929,643408.4523179918,981.0460761046295,5.42367740931198e-15,1.0
field_150x50m_200C,64.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1011.8824015596467,1011.8824015596467,1011.658385096587,689534.604201162,688543.5636366581,991.0405645076212,5.440206879549267e-15,1.0
field_150x50m_200C,65.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1020.1328430813788,1020.1328430813788,1019.9510766070287,735047.8032321862,734048.6531613761,999.1500708141728,5.529306299095141e-15,1.0
field_150x50m_200C,66.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1026.8027508495384,1026.8027508495384,1026.6557956630568,780858.5800167646,779852.8735443089,1005.7064724599064,5.463343420535958e-15,1.0
field_150x50m_200C,67.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1032.1793036895401,1032.1793036895401,1032.0608381242218,826909.231559976,825898.2397495477,1010.9918104327509,5.348817322084366e-15,1.0
field_150x50m_200C,68.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1036.5031795706523,1036.5031795706523,1036.4079043140478,873152.7927079484,872137.5501945396,1015.2425134134622,5.376199051949176e-15,1.0
field_150x50m_200C,69.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1039.9739527224713,1039.9739527224713,1039.8974726643926,919551.2023056316,918532.547636513,1018.6546691234923,5.3426747667597795e-15,1.0
field_150x50m_200C,70.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1042.7557397832718,1042.7557397832718,1042.694440134814,966073.7212573257,965052.3317060595,1021.3895512714224,5.3924165933605845e-15,1.0
field_150x50m_200C,71.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1044.9826166097162,1044.9826166097162,1044.9335439013746,1012695.5922580269,1011672.0133292136,1023.5789288188048,5.3979872597424705e-15,1.0
field_150x50m_200C,72.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1046.7635509694023,1046.7635509694023,1046.7243045949058,1059396.9195967172,1058371.5896919738,1025.3299047490898,5.304471142618276e-15,1.0
field_150x50m_200C,73.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1048.1867420961553,1048.1867420961553,1048.1553788431318,1106161.742568795,1105135.0133933716,1026.729175429453,5.377443907485755e-15,1.0
field_150x50m_200C,74.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1049.3233474383658,1049.3233474383658,1049.2982994668473,1152977.2751572828,1151949.4284672919,1027.8466899972989,5.5026302795317755e-15,1.0
